gene,mrna,protein
Lsm6,7.73,296185.19
Aldh18a1,21.12,294632.43
Rpa1,80.6,253322.25
Llph,7.28,231558.95
Picalm,41.17,287846.12
Ebp,11.26,306354.47
Nrbp1,40.65,289319.74
Ssr3,100.53,424838.51
Erp44,14.13,280712.57
Mrpl27,41.98,133907.75
Usp5,43.85,417933.5
Mrps23,24.86,269985.36
Wdr77,35.18,317231.97
Sfrs9,51.33,225464.0
Bsg,189.0,258978.14
Glipr2,19.91,226031.74
Ppih,2.19,242225.83
Rpp30,10.18,226865.55
Rpa3,19.05,287298.07
Tyms,18.22,304881.27
Edf1,93.44,211653.7
Lin7c,13.42,215691.53
Ube2z,42.53,273655.28
Rqcd1,20.57,206864.01
Nup155,24.58,218746.37
Crk,36.0,360469.93
Stx12,16.42,267452.16
Ctbp1,67.73,303208.06
Cdkn2b,14.4,177385.14
Sf3b1,31.41,234196.2
Eif2a,20.16,218812.42
Polr1c,62.87,304623.3
nan,22.15,198880.15
Bxdc1,10.4,238279.36
Trnt1,18.42,249161.79
Qil1,39.6,279271.04
Sfrs5,77.54,401025.75
Aldh2,16.27,370082.89
Dynlrb1,60.73,257550.1
Oprs1,44.85,274974.55
Dpm1,6.13,264809.29
Cpox,17.68,312846.16
Eif2b2,30.04,263941.85
Ppp2r2a,23.17,322189.88
Arpc5l,19.82,185008.79
Nsun2,52.39,356391.03
Utp18,20.27,122012.79
Mvp,26.46,326578.91
Atpif1,83.15,161993.62
Stoml2,24.23,355147.79
Rfc2,29.36,227159.01
Ndufs3,23.63,289556.68
Sfxn1,19.48,271130.89
Atad1,23.24,220246.49
Hnrnpr,37.67,305663.04
Rrs1,28.77,175246.42
Cox4nb,8.44,275605.61
Psmb10,29.49,221789.9
Pole3,45.07,222591.62
Rala,11.92,240473.17
Ilf3,23.45,234421.59
Lypla1,13.72,235099.76
Prkcdbp,32.39,270041.45
Rap2b,8.5,268726.13
Mrpl53,32.18,141199.72
Slc25a12,12.22,304232.37
Ppp3ca,37.17,306831.4
Ndufa5,53.35,191106.86
Rrm1,66.28,472057.37
Ndufa4,293.66,543497.09
Clpp,35.21,222699.64
Ube2c,51.32,232381.75
Mta2,52.97,189608.97
1810008A18Rik,22.5,140892.83
Acad9,10.4,180710.19
Nmral1,16.67,218401.09
M6pr,49.51,327135.99
Lsm1,5.89,167788.22
Hp1bp3,32.61,237506.05
Bola2,75.71,191678.39
Tnpo1,39.25,368090.48
Thop1,30.09,224524.69
Cbr3,12.53,202744.29
Thrap3,38.92,146089.89
Prpf8,106.48,262477.45
Atp6v1e1,28.59,246072.25
Supt5h,61.02,173706.27
Impdh1,28.58,180158.81
Ccdc109a,14.01,244707.4
Sf3a2,41.02,187117.64
Dhrs4,8.99,165375.3
Mgst1,18.12,260147.56
Ufm1,10.16,221075.6
Ctsl1,485.21,344000.4
Ergic1,46.26,295051.85
Purb,15.05,325605.59
Bid,21.65,228220.52
Crop,23.04,221805.18
Fhl3,33.37,225790.11
Vps4b,14.71,204867.89
Pgp,29.14,239706.44
Chmp1b2,2.99,175127.23
Dap3,12.22,212621.78
Sptbn1,47.85,297762.21
Fubp3,16.82,192080.11
Upf1,21.76,237648.58
Mlec,37.66,241720.16
Bysl,17.16,173008.59
Uck2,54.8,199373.77
Nif3l1,13.75,261628.24
Ptms,91.29,261987.8
Gpx4,50.43,249639.24
Dlat,7.53,212762.48
Sumo3,62.94,127053.74
Cbfb,22.75,199524.03
Dtymk,30.78,147881.81
Cat,11.94,170953.28
Cd9,166.13,272973.35
Ppic,39.35,275503.5
Ubap2l,55.42,251246.93
Mrps7,42.77,113141.32
Pck2,13.22,285091.52
Atp6v1c1,39.28,240096.68
Imp4,21.22,150991.15
Psmg1,17.8,224593.79
Cd44,69.63,337235.54
Pfas,11.06,139948.69
Drap1,95.34,169267.25
Sf1,46.67,272624.35
nan,11.73,154843.06
Ddx17,22.63,232038.29
Nt5c,30.19,269331.93
Emg1,60.19,200662.05
Uba2,49.64,283091.92
Rraga,37.31,184075.63
Pdcd10,7.63,234868.43
Rdx,36.45,216687.29
Wars,22.84,294131.04
Pdcl3,35.3,331829.53
Psmd1,76.58,329803.43
Dnajc7,37.76,152987.3
Sf3b2,74.49,164585.47
Ostf1,20.23,362841.69
Cpsf6,11.2,213497.11
Tax1bp3,14.66,252583.04
Rrp7a,67.53,109916.04
Prkar1a,73.32,180477.98
Fkbp9,65.14,277566.73
Utp11l,27.35,119346.47
Ipo9,28.76,262418.84
Ttc35,23.88,238983.13
Bpgm,34.9,146651.19
Trim47,25.45,242268.09
Vps26a,18.04,289554.52
Vma21,6.57,209289.3
Dnpep,14.14,351256.26
Cops7a,30.72,257158.5
Xpo1,30.89,407070.42
Wdr12,11.5,323207.98
Denr,56.49,235882.56
Qdpr,20.35,218157.46
Ranbp3,38.04,164465.76
Sephs1,9.2,248061.06
Adss,24.73,403448.85
Vps28,58.58,193938.32
Usp14,15.64,235024.8
Selh,65.7,147275.58
Mrpl14,43.32,116854.47
Lyrm4,2.7,128669.29
Nampt,10.2,290862.44
Arfip1,13.34,198344.77
Cald1,165.47,151456.45
Adrm1,63.64,323247.05
Ndufb10,67.11,261089.04
Rfc5,28.6,239449.73
Ddx39,45.31,228094.98
Aacs,18.35,247524.25
Hspa4l,38.89,290839.57
Bat3,51.72,187605.87
Cpne1,20.95,276535.7
Nop2,52.27,224126.08
Rab32,10.17,163353.43
Ncln,61.6,189389.85
Chordc1,18.44,181231.72
Scp2,9.35,168292.21
Gtf2f2,10.4,111567.97
Coro1b,52.82,202644.77
Rbp1,8.01,261036.43
Nipsnap1,9.56,184576.58
Ngdn,15.41,177021.58
Nsf,23.08,212454.02
Tmco1,7.1,252196.15
Mpst,6.85,234143.0
Ppp2r4,43.78,258972.01
Snx5,36.08,144744.86
Snrpf,10.28,257458.16
Cpsf7,25.13,132542.19
Mycbp,7.77,143569.18
Prim1,34.54,149422.63
Atxn2l,47.3,155877.0
Pih1d1,19.04,143281.57
Gnai3,40.29,241260.76
Mrpl11,24.97,154276.67
Lyar,39.79,146511.27
Rexo2,34.07,188851.93
Rragc,27.68,161041.5
Ssrp1,105.04,214355.19
Uso1,41.65,244622.28
Ndufc2,45.85,176947.56
Srp72,27.53,201763.16
ORF3,35.51,179443.69
Ndufv2,25.61,190313.72
Eif4g2,114.76,253767.24
Pef1,15.66,241974.87
Ephx1,23.75,348486.83
Mapk14,20.41,190467.2
Tfg,26.93,222310.14
Dnajb11,16.33,216171.34
Ndufb3,31.35,151581.1
Ndufa9,43.29,221531.21
Prosc,7.73,156686.72
Map4,25.15,223039.81
Ppp1r7,8.29,258945.92
Mpp2,1.88,193251.94
Camk2d,17.7,255847.07
Smc3,25.64,148400.07
Wdr18,14.71,182328.48
Grwd1,36.63,258857.68
Tfam,12.03,166334.4
Col1a1,589.1,265519.22
Vps25,25.44,215937.82
Mrpl9,31.81,118378.37
Mrfap1,87.71,121159.87
Tmed4,16.4,137989.47
Atp6v0d1,19.9,257933.34
Sdpr,15.82,189928.63
Gfpt1,14.85,220203.76
Aldh9a1,11.86,169755.83
Rbm28,19.06,168692.77
Ubfd1,12.65,185386.44
Pygb,19.51,261036.78
Atp1b3,73.68,301878.4
Ndufs2,58.9,146330.82
Sf3a1,25.02,215884.03
Dbnl,26.35,178236.52
Bak1,42.04,233631.19
Rrbp1,44.46,184414.34
Aip,44.73,197156.74
Dpp3,35.2,254172.89
Tomm7,21.85,152004.8
Pspc1,7.98,111747.39
1110020G09Rik,11.27,143442.88
Parva,56.6,238276.27
Polr2j,56.19,112850.35
Fam50a,21.03,156012.17
Ppp6c,13.17,165531.41
Rcl1,30.38,136399.54
Spag7,30.93,130037.27
D10Jhu81e,11.01,140033.16
Rab34,45.48,126402.83
Pura,8.16,258911.42
Snx9,73.3,243644.3
Trip13,18.21,165221.23
Gsr,20.07,248324.75
Rab31,34.72,230052.9
Mltk,18.38,189491.25
Slc25a1,15.03,165400.35
Ddx27,47.96,146243.22
Rrp12,16.78,113288.64
Cab39,20.47,227002.78
Far1,26.47,235879.4
Lass2,91.57,241286.74
Mrps28,14.42,136269.65
Eif1ad,30.48,103986.1
Lbr,16.02,151712.17
Enoph1,19.46,171250.18
Tiprl,5.42,148416.44
Cdv3,49.13,225753.66
Nup93,28.55,202774.28
Timm44,23.38,184846.66
Ppp1r8,26.46,158546.41
Asf1b,20.98,133682.11
Sec61b,101.78,353444.73
Rps19bp1,52.73,116677.23
Tomm5,70.88,132966.35
Clns1a,47.71,186217.39
Ddx46,19.02,124828.66
nan,14.39,178415.77
Arhgap1,23.68,320046.51
Smc1a,37.71,130740.32
Nup62,41.82,188880.12
Mpp1,36.65,264578.54
Ndufs1,19.66,176418.07
Tpd52,20.76,236962.92
Gmds,17.0,194173.08
Rbm25,22.94,117447.35
Synj2bp,2.47,141394.36
Snw1,27.87,127490.69
Rrp1,81.49,134536.58
Smc4,24.05,112903.75
Ndufs8,40.45,178577.43
Ctnna1,62.84,209594.57
Myl12b,64.31,330321.03
Mobkl3,10.38,127778.46
Rrp9,36.24,100111.66
Rap1gds1,24.9,178377.13
Smarcc1,31.02,130021.2
Sh3gl1,22.65,181352.46
Parp1,36.57,187881.49
Hspa14,28.39,162030.78
Fam114a1,9.38,112717.08
Ktn1,15.11,106649.36
Rtcd1,34.2,189228.12
Cks2,38.85,101855.86
Lonp1,40.61,159634.9
Ppp4c,46.06,202101.4
Csnk1a1,37.47,230966.96
Map2k3,62.41,134735.73
Prpf4,6.59,123978.37
Nup54,18.95,94324.75
Hnrpll,20.37,169042.86
Blmh,21.73,311182.1
Ero1l,22.03,278836.96
Praf2,17.43,155509.35
nan,43.78,158118.69
Mapk3,43.26,195818.55
Odc1,177.08,205591.24
Sumf1,10.82,183829.44
Mp68,90.32,149209.34
Ivd,9.48,115959.18
Trap1,22.48,142347.07
Anxa11,12.03,152229.0
Bles03,35.92,125311.66
Comt,34.01,219006.13
Sec24d,45.58,192548.79
Tra2a,48.6,241423.88
Ndufa12,74.89,134062.99
Vcam1,47.02,271027.57
Ppan,51.88,148517.61
Utp3,31.4,117845.22
Mrps25,9.66,105040.46
Smap,71.69,243173.67
Mrpl13,92.78,115276.16
Cugbp1,29.85,99133.79
Timm8b,49.21,110196.58
Itga3,89.07,197755.86
Exosc4,24.52,153172.8
Ncbp1,41.86,188073.71
Numa1,37.0,193246.51
Fkbp10,63.41,200261.12
Tial1,11.3,143733.51
Acsf2,4.25,195698.63
Myef2,14.87,130208.49
Hspbp1,21.45,164065.28
Ppil3,17.39,332476.02
Ccdc124,37.48,117731.73
Fam128,9.43,84138.26
Ube2h,8.15,206651.71
Nup43,13.29,144054.44
Tpr,31.8,128399.14
Cggbp1,13.5,92360.24
Scfd1,16.91,188225.6
Trmt61a,11.14,111811.31
Rabl5,15.7,122362.73
Cda,10.57,143050.61
Psmd10,17.97,102836.48
Sumo1,51.76,114667.5
Stxbp1,17.52,75167.37
Gosr2,25.97,101102.03
Wdr82,18.14,123038.76
Ilk,69.4,189245.79
Tsr1,56.59,212784.21
Gna11,28.64,144702.53
Ube2a,14.58,154795.2
Mrps14,12.21,74622.01
Hmga2,82.21,87090.78
Ythdf3,19.18,149966.44
Tbl1x,36.45,115524.81
Cand1,8.07,189882.88
Ndufa10,44.9,245975.01
Lamp1,212.13,215596.93
Psmg2,13.43,108528.07
Fam3c,23.94,134589.9
Naca,6.63,262917.69
Sucla2,12.06,143002.83
Chchd1,24.81,56528.45
Wdsof1,57.62,103810.9
Nol7,10.92,70065.72
Chchd4,20.8,153941.35
Erlin2,9.15,186243.87
Tmem97,56.6,143596.93
Sep15,99.35,120815.13
Atp6v1d,16.91,108310.74
Mrps26,27.8,84490.2
Rab5a,16.28,169816.28
Arl2,13.47,164346.05
Ythdf2,13.99,149919.82
Lzic,13.48,168450.84
Dnajb6,10.14,101035.22
Noc4l,31.05,109130.78
Adh7,18.77,141920.98
Junb,55.02,150762.71
Plrg1,37.08,110607.83
Dpy30,26.14,238989.39
Nxf1,38.62,164579.34
Carhsp1,23.71,138661.15
Med10,33.73,64283.84
Atp6v1g1,41.95,152591.06
Vps26b,9.23,145115.4
Prmt5,27.37,137213.96
Ddx56,15.63,79916.5
Ccdc86,13.54,43715.8
Dnajb1,17.7,221553.45
Pdcd11,21.37,118664.29
Larp1,53.52,120226.81
Baz1b,42.03,113177.3
Hrsp12,11.57,178964.22
Bop1,97.16,149219.97
Gbp2,11.07,261191.84
Sord,6.09,77683.8
Scamp3,44.44,109074.59
Cwc15,30.79,116943.14
nan,29.47,104384.66
Tmed1,24.09,123642.27
Snx6,27.72,146348.61
Tubg1,52.04,221769.47
Mrpl43,27.33,78060.51
Rab35,32.13,150845.38
Rbpj,16.21,102935.51
Pfkp,23.57,253447.64
Sar1b,19.16,159279.56
Scamp2,13.04,105242.69
Sssca1,51.22,138730.63
Gpc1,176.94,202897.56
Gcn1l1,25.63,129539.89
Slc2a1,50.45,208913.09
Lig1,33.76,130825.21
Tnpo3,37.94,159057.47
Tsfm,10.93,144107.66
Ppp2r5d,27.87,150285.65
Reep6,8.4,76138.55
Heatr1,17.22,99345.96
Faf2,13.09,213755.95
Dhrs7b,16.09,130372.39
Ostc,56.68,149889.99
Spcs3,9.13,122958.57
Heatr3,20.39,129531.67
Fam96b,28.33,118709.43
Dohh,32.36,135537.88
Hnrnph2,42.45,218247.24
Smu1,24.89,144314.49
Gadd45gip1,15.44,74819.05
Ugp2,8.64,217811.2
Creb1,2.63,90006.84
Papss1,24.45,172249.55
Ciapin1,9.7,144665.44
Ugcgl1,12.1,142873.24
Pmm1,41.25,81060.62
Poldip2,33.36,133471.35
Dync1i2,24.93,112935.78
Gmppb,8.77,99281.24
Ado,14.93,74295.11
Ndufa2,110.04,142639.41
Chrac1,33.84,139181.35
Anxa8,21.27,227545.14
Atp6v1f,61.38,101290.72
Mrpl21,12.0,129907.83
Nt5c3l,34.68,149062.8
Emp2,53.13,74103.28
Cyfip1,33.67,154559.31
Lsm2,57.27,307014.73
Cdc123,43.7,199693.38
Actr1b,43.71,168128.44
Acaa2,11.45,154732.37
Fam98b,15.36,108477.7
Hn1l,28.02,77320.55
Ppat,16.89,82115.85
Csrp1,45.02,247305.31
Ndufb11,44.86,113164.64
Rae1,27.13,129327.28
Cops7b,10.58,128188.63
Arl3,15.15,174398.48
Derp6,32.37,61573.89
Commd9,12.7,145787.15
Gdi1,25.44,207937.93
Mrps16,24.45,65027.74
Pnn,36.5,117952.16
Sqstm1,189.75,116020.56
Thumpd1,22.02,172503.52
Znf593,10.15,78580.4
Bccip,29.17,103735.63
Dnajc19,11.16,110169.46
Wdr46,31.31,72030.41
Kpna6,11.65,120168.85
Mrpl4,22.88,130675.35
Nln,10.03,119933.72
Mrpl15,13.44,84150.1
Wdr43,37.1,117166.56
Fhl2,58.12,126191.57
Gstm5,22.34,215823.73
Eif2b4,16.9,100572.49
Mtx1,23.99,116318.67
Abcb1,23.95,97734.06
Hspb8,41.33,123093.96
Ppp1r14b,100.21,168233.31
Sh3kbp1,30.8,207347.17
Ak3l1,4.77,107707.31
Nudcd1,14.62,97336.28
Mettl11a,22.09,151881.59
Glt25d1,36.87,140110.82
Ndufv1,49.18,129252.33
Tmem111,26.46,125698.19
Mbd3,58.7,143758.63
Mrpl41,3.01,111441.91
Pelp1,20.89,117524.74
Vasp,27.9,147488.69
Txlna,22.47,74852.01
Armc10,6.83,88027.46
Prpf31,16.18,115911.77
Gnaq,8.37,150406.18
Srp19,21.42,124924.5
Inf2,42.73,107158.53
Gosr1,10.78,98619.05
Gde1,29.32,50068.38
Nub1,22.61,85282.61
nan,25.49,146277.88
Ddx47,32.03,137727.52
Myl9,37.66,229325.3
Timm17a,46.82,138996.93
Sparc,390.78,172771.31
Adk,10.93,85476.11
Rgs10,14.33,78118.03
Frg1,13.88,113179.86
Nat5,20.21,129609.72
Znf622,19.5,116662.79
Msrb3,18.71,89176.98
Cdk7,3.28,110449.14
Chd4,45.57,137499.59
Glod4,4.72,161257.06
Znhit2,17.92,50928.04
Bclaf1,15.38,84216.5
Ndufb9,154.25,98009.38
Lrpap1,11.64,134149.18
nan,4.37,27453.97
Utp23,6.72,50185.19
Hk2,15.91,137923.26
Otud6b,14.71,77961.27
Qki,16.43,97849.28
Polr2d,16.62,93697.94
Abcf1,58.32,137402.42
Dcun1d5,42.76,89893.39
Copb2,53.33,175666.08
Gtpbp1,33.55,119427.11
Letm1,19.51,96074.26
Mrpl1,3.68,101325.28
Pgm2,12.69,108270.99
Prkaa1,19.48,102953.24
Ftsj3,72.71,130105.62
Sdf2l1,22.71,115921.59
Mrpl46,16.79,90340.07
Clpx,9.95,67615.13
Prpf38a,16.62,119726.73
Uqcr10,150.83,298792.13
Pdxdc1,21.25,125256.73
Nop10,49.03,193503.85
Surf4,85.61,273943.78
Lypla2,19.06,109563.05
Atl3,10.96,134807.78
nan,12.29,83424.91
Dnm1l,16.94,148080.71
Ddx52,18.8,67081.87
Samhd1,12.44,133042.67
Nob1,34.53,79592.63
Ndufb7,53.47,99511.49
Mocs3,2.33,111641.42
Gpc4,40.97,164280.02
Gfm1,29.3,97199.5
Epb4.1l2,20.58,96260.7
Thoc7,30.54,80546.39
Rcn1,33.31,241949.46
Twf2,11.46,176520.57
Mcts1,13.75,115707.91
Yrdc,25.35,46199.19
Bet1,5.77,82151.61
Prpsap2,10.6,157466.21
Nudt16l1,13.79,110194.46
Slc25a13,10.38,117685.06
Lman1,17.52,139585.62
Sptlc1,12.45,68912.37
Pex14,13.28,62707.02
Hibadh,11.75,134866.58
Pon2,20.01,107628.18
Hmbs,10.24,135101.7
Xpnpep1,38.15,141633.8
Hibch,4.46,105817.0
Ppp1r2,5.64,60694.65
Tbc1d15,10.79,89869.7
Gorasp2,44.16,131398.32
Ndufs7,51.27,84128.78
Sr140,8.95,104441.55
Igf2bp2,15.66,110886.27
Ubqln1,45.54,167093.44
Ptpn11,36.26,74855.82
Luc7l,5.5,111120.69
Gba,35.83,100881.05
Robld3,38.55,110066.58
Xpo5,27.36,106114.35
1500003O22Rik,24.87,95160.36
Cdc5l,17.22,164631.99
Rnps1,15.19,152800.42
Ppp1r12a,19.78,93759.23
Mvk,11.42,115776.86
Ncapd2,34.76,111152.58
Kiaa0664,35.58,65384.43
Chmp5,22.81,128059.49
Pwp1,21.07,61879.2
Dusp3,4.24,46158.41
Ezr,19.1,212984.95
Anxa7,13.13,120803.82
Pmpca,34.25,137781.99
Snf8,38.53,102544.39
nan,17.46,128624.15
Flot1,8.45,86245.51
Dpm3,44.47,124833.05
Hint2,3.62,76094.8
Nubp2,24.47,84494.14
Dr1,11.11,148653.5
Mlkl,18.54,79813.29
Polr2c,11.78,96036.69
Snx2,12.45,99437.72
Acy1,9.13,99331.97
Pmpcb,35.14,97757.34
Serpinb9b,6.12,50144.58
Cdc73,12.33,101345.2
Nup37,13.89,112879.4
Nol11,24.42,82130.03
Rfk,12.51,88138.32
Dpysl3,15.53,101734.98
Zc3h15,41.76,115279.33
Ckap5,22.05,106089.84
Commd3,16.31,146101.87
Supt16h,20.66,88381.57
Isoc2a,3.99,110969.93
Cox6b1,173.54,175039.59
Grpa,9.04,138879.75
Sdcbp,34.21,121347.54
P4ha2,17.94,146782.34
Ctnnd1,36.73,173326.74
Cdc34,52.89,51112.47
Mrp63,5.12,81016.03
Alg5,20.49,99583.96
C330023M02Rik,26.05,111376.02
Mrps2,19.7,92732.31
Hcfc1,42.58,80794.59
Src,44.1,118883.85
Ubtf,36.51,118910.59
Trove2,5.36,99787.75
Pus1,31.88,87162.25
Tmem93,29.21,71708.3
Thoc6,10.86,110872.79
Ikbkap,16.87,74073.3
Nup205,26.43,97593.16
Arhgef2,45.83,123701.18
Mrpl22,33.21,73428.12
Mat2b,13.92,130436.95
Arl6,5.74,91961.67
Ufc1,42.85,144730.31
Pitrm1,25.91,115835.72
1810006K21Rik,77.09,106056.71
Grcc10,28.76,87692.18
Cdipt,28.69,134303.71
Apool,7.59,99051.95
Tmem214,27.31,92762.74
Atp6v1b2,18.18,162596.49
Mrpl24,25.19,62726.4
Mrps18b,43.59,41181.05
AI314180,23.91,114646.34
Prpf40a,24.85,92370.5
Ogdh,11.39,115568.88
Nolc1,43.25,94682.32
Gltp,24.46,82909.44
Gnas,96.29,100141.81
Mrps24,21.64,61985.97
Tor1b,20.05,106881.35
nan,10.59,62236.28
Tsc22d1,75.7,63589.31
Tsg101,14.34,121797.11
Msto1,41.45,118863.81
Zmat2,11.53,33791.03
Oxa1l,9.92,38972.17
Rab39b,4.27,84744.47
Slc39a7,74.09,48970.75
Ccdc44,4.97,54142.72
Irgm,11.94,191639.62
Col1a2,308.72,132157.2
Kif5b,18.0,107681.84
Cox7c,68.21,127426.69
Cnpy4,11.14,79831.55
Gmfb,14.62,152020.29
Hnrnpa2b1,108.63,124466.51
Rab8a,17.39,90676.5
Serpinb9,4.82,107394.39
Mettl1,11.58,90311.95
Ap1s1,82.38,102928.06
Cyp20a1,16.57,99978.67
Zmpste24,20.81,151391.77
Eea1,9.68,88231.0
Me2,14.7,79264.0
Ctnnbl1,10.42,77759.88
Dnajb4,6.89,134409.4
Maoa,5.83,99419.24
Mrpl33,72.55,97152.45
Dclk1,2.06,115992.78
Fmr1,17.41,86743.78
Cpne3,7.01,149300.74
Utp6,21.83,64769.74
Dnajc2,28.4,96150.99
Cstf1,25.91,101371.96
Cox7a2,92.01,132963.93
Snx1,16.59,92658.23
Yars2,13.31,79805.74
Sec23ip,13.38,103241.46
Pus7,17.49,73017.93
Ctsa,22.85,114164.08
Marcks,5.8,67328.07
Rwdd4a,8.6,108451.06
Kctd10,76.37,56814.12
Pole4,26.95,65647.11
Stau1,23.22,100329.71
Polr2g,60.05,101517.9
Dusp9,28.99,107071.22
Aatf,36.49,82255.14
Rab23,6.64,78746.95
nan,54.01,34646.93
Rbpms2,10.93,86813.13
Snrpc,48.77,101067.05
Mak16,28.54,108252.59
Agps,10.68,48516.18
Pdk3,15.91,82796.3
Bms1,23.64,52522.21
Ifi35,19.58,157397.31
Ubap2,34.03,71288.55
Uba3,27.99,129116.45
Isyna1,23.42,120135.72
Tcerg1,16.47,82581.82
Rcn3,41.95,209256.63
Golph3,38.95,141444.68
Med18,4.88,75485.81
Prkab1,19.03,80925.92
Ehd4,14.74,108242.78
Mrpl39,25.14,97304.1
Nrd1,26.0,96251.79
Atp6ap2,24.43,51448.96
Pgm2,14.48,129237.71
Opa1,13.11,60525.81
Vps24,19.83,90070.97
Nek7,15.56,84580.02
2810432D09Rik,15.36,101830.06
Dis3,21.62,77438.11
Myadm,73.72,128651.72
Tigar,4.16,77821.78
Mrpl3,28.77,61569.2
March5,13.82,52274.8
Nfu1,20.83,103952.93
Sec23b,18.15,156943.35
Myo1b,14.89,93765.23
Fam36a,12.83,44462.8
Cltb,14.27,48716.48
Prim2,17.45,98096.82
Myh10,27.17,97242.08
Ube2g2,34.89,42604.51
Rad21,75.4,101909.83
Cul1,42.52,116562.81
Smyd5,34.7,93464.84
Nfic,27.66,41710.74
Ncoa5,13.27,58842.12
Bcap29,10.39,40730.52
ORF11,16.45,85984.23
Uhrf1,52.48,56684.72
Mrpl16,22.95,58433.16
Snapin,13.04,53757.64
Eif2b3,16.03,82440.62
Sart3,23.36,67541.83
Hdgfrp3,10.13,87965.4
Tex264,30.04,29805.89
nan,86.44,87772.6
Rwdd1,23.64,127643.14
Mrps5,16.84,60102.77
Usp39,28.98,72173.41
Plekho2,36.72,66654.12
Prmt3,17.21,53975.38
Akr7a5,8.11,101641.52
Acin1,26.22,70041.31
Selt,38.57,79711.9
Tspo,135.92,202684.96
Ripk3,17.11,107040.9
Tmem167a,5.05,102741.65
4921506J03Rik,28.03,99652.82
Sltm,19.61,47929.12
Ca13,5.9,93596.72
Fbxo6,10.19,79141.73
Dck,9.04,50513.4
Slc16a1,21.18,80570.47
Cdkn2a,90.9,40622.87
Ubxn4,22.99,90714.23
Kif4,13.6,51884.31
Dnajc9,15.5,73243.08
Gemin7,28.4,59529.95
Raver1,29.04,83853.71
Cox17,33.85,57198.16
Lmnb2,12.63,58092.68
Clint1,27.57,67780.95
Lims1,11.38,96410.44
Nup85,48.13,75918.7
Prkacb,16.69,141249.59
Ndufa3,74.54,77260.32
Timm9,17.44,97610.16
Hagh,16.27,55278.66
Cul4b,13.93,93007.71
Asph,6.9,116531.02
Crkl,11.25,129276.86
Smarcb1,49.32,90612.04
Tjp1,21.68,92319.97
Acadsb,6.03,102803.62
Nol12,22.61,34324.8
Znf259,17.29,65281.71
Cdk9,10.8,60408.59
Vamp4,2.49,57588.57
Ppa2,15.28,81641.08
Polr2b,33.71,68655.31
Mtap1b,14.78,73904.48
Pttg1ip,118.37,54962.68
Mphosph10,18.98,87121.2
Pecr,4.62,66119.64
nan,9.17,105285.63
Xdh,41.43,106444.42
Ppp4r2,16.57,63595.46
Gltscr2,43.83,69312.53
Lhpp,7.87,52800.72
Atad2,30.0,38974.89
Bcl2l13,6.8,102444.1
Pla2g4a,19.64,142131.78
Pde6d,10.59,84230.86
Ppp3r1,21.44,127987.69
Plod3,37.31,124592.02
Nit2,6.85,104114.74
Zfr,34.4,42565.84
Actr10,6.12,78083.47
Ik,43.65,70310.85
Bgn,557.82,140872.7
Nmi,5.37,76697.98
Znrd1,19.14,26431.6
Cebpb,49.67,27258.97
M6prbp1,11.22,164530.59
Xrn2,30.82,94456.94
Exosc1,14.52,49474.69
Crlf3,14.6,78793.67
nan,2.86,51272.75
Casp6,10.73,111833.81
Ube2d2,10.44,34222.89
Exosc5,18.51,59860.44
Usp9x,46.54,82898.31
Apip,11.72,63793.84
Samm50,56.16,94148.97
Mrpl37,26.53,49244.03
Myo9a,2.4,68842.92
Yif1b,22.09,55238.64
Lamb1-1,88.91,93058.47
Fkbp7,11.39,79806.81
Ccar1,26.33,60050.37
Lnp,2.41,63118.05
Mff,21.37,38351.08
BC003885,23.53,107665.64
Ppp5c,33.48,82828.13
Ilkap,25.26,60603.05
Mrps15,25.86,57536.08
Anln,29.2,49773.49
Serpinb6b,6.51,51605.21
Ide,14.23,94255.97
Nomo1,53.64,62582.88
Stat6,25.48,42834.82
Atp6v1h,32.05,148277.61
Gatad2b,23.45,48461.15
Pawr,15.16,36486.73
Gabarap,74.08,94480.82
Mrpl50,11.41,50768.99
Rbms2,10.11,68598.8
Stam,10.94,55369.03
Cryzl1,11.19,75281.62
Vti1b,22.41,43418.41
FAM120A,57.81,60753.14
Ppp2r1b,11.15,87548.37
Ndrg1,12.57,102695.42
Comtd1,2.31,44491.51
Sec62,20.35,50222.5
Pqbp1,16.52,33360.48
Eif2b5,31.36,47102.24
Unc119b,16.31,68337.74
Mrps31,5.46,67967.8
Wdr5,24.06,72048.46
1700037H04Rik,32.57,72657.03
Supt6h,44.3,63641.87
nan,13.97,44056.16
Smarce1,17.69,68876.84
Eif4a2,41.42,42012.13
Med11,15.35,62506.57
Mdp1,4.34,68385.42
Mri1,5.8,38085.6
Ube2r2,22.62,65843.25
Krr1,8.13,61000.54
Fam136a,12.71,40949.68
Calu,163.61,95421.1
Aen,37.22,89935.12
Mrps22,16.44,86012.84
Mrpl40,16.47,64100.62
Tsr2,10.6,47011.46
Gss,13.13,217534.66
Abhd14b,4.86,89742.15
Chchd6,8.17,40091.08
Asl,11.6,86814.49
Spg21,23.86,78430.86
Gtf2b,22.96,83225.09
Amacr,3.25,73876.05
Ampd2,35.24,68107.38
Thoc3,18.87,59633.44
Plaa,11.3,63832.02
Map4k5,6.59,27966.63
Guk1,20.33,60442.05
Srxn1,37.79,53213.69
Ublcp1,4.28,52873.67
Ptgis,14.25,129724.51
Rbm12,13.45,61926.95
nan,5.19,50485.33
nan,14.43,42033.02
