gene,mrna,protein
Ube2l3,28.65,2134014.24
Cdc42,78.5,2295282.94
Gpi,92.48,2527638.22
Cse1l,35.81,2677708.99
Psmb4,213.44,2250185.83
Rab10,40.29,1949476.71
Psme2,51.53,1785566.17
Hprt1,48.44,1999449.01
Rps27l,166.6,1603701.79
Tpm4,187.34,2117842.89
St13,116.36,2276287.67
Eif4h,140.89,1606727.86
Prdx5,95.98,1851533.22
Gdi2,69.76,2784483.73
Psma2,130.05,2382480.03
Mybbp1a,189.66,1764453.01
Atic,74.96,1900534.48
Hsd17b12,60.01,1540498.55
Actn4,121.67,2546922.72
Etfb,41.8,1391100.4
Clic1,161.73,2315688.15
Vapa,43.46,1182212.54
Rps29,18.61,2273459.86
Psmd7,69.67,2149834.36
Fkbp3,46.76,1414696.26
Rab11b,2.88,1648236.05
Psmd11,61.05,1892194.76
Pgd,102.94,2621118.8
Nat13,32.56,1270055.78
Magoh,58.38,1348731.59
Ehd1,75.53,1798348.21
C1qbp,125.6,1636061.12
Ptrf,75.33,2037894.82
Hnrnpf,60.32,1984251.93
Atp5c1,80.62,1207791.95
Ptrh2,11.04,1292497.81
Psme1,51.71,1960883.84
Ap2s1,82.98,818450.03
Rab2a,68.1,1651267.92
Park7,54.25,1556825.52
Tceb2,121.05,1300831.22
Sfrs7,37.08,1589278.6
Cap1,129.52,2084609.45
Capzb,106.41,1840903.73
Srm,100.74,1729263.33
Nudc,79.09,1266391.66
Gsn,137.64,1933252.93
Prmt1,153.21,1664479.75
Anxa4,37.66,1807699.04
Ddt,69.18,1572741.8
Hnrnpa0,56.2,2006661.03
Psmb6,129.35,1604541.38
Pfdn1,28.09,717323.97
Tardbp,23.73,1975509.99
Ywhah,65.04,1343325.54
Mtap,45.0,1739146.69
Capg,116.74,2049798.8
Blvrb,54.22,1244564.87
Ass1,68.8,1848017.49
Uqcrc2,45.58,1470749.36
Rsl1d1,71.07,1023384.68
Arpc2,78.93,1191413.27
Arl6ip5,144.41,1798571.4
Asns,84.43,1473218.96
Mapk1,31.99,1400594.96
Dhfr,9.29,1239486.43
Snrpa1,36.19,1312351.37
Armet,32.4,1055195.85
Atp5h,114.96,1317704.55
Ak2,53.57,1035810.06
Psmb5,46.32,1464960.08
Rbbp7,104.45,1997868.71
Cisd1,55.32,931091.69
Nop56,147.48,1374780.55
Capza2,62.42,1945579.69
Actr3,104.59,1645685.28
Reep5,16.91,1052156.23
Rangap1,104.61,918444.9
Hnrnpm,98.87,1328604.05
Khdrbs1,59.22,1323500.75
H1f0,24.61,910192.35
Rab1A,39.4,1272070.14
Oat,39.94,1375077.6
Fkbp1a,133.82,1512494.77
Aprt,93.86,1330892.16
Prpf19,107.64,1280953.99
Paics,74.18,1530002.57
Nap1l1,49.24,2853394.74
Vps29,37.47,959110.25
Ddx21,82.23,1278919.29
Rab5c,78.91,1185747.76
G3bp1,76.76,1285176.91
Wdr1,149.2,1276539.03
Akr1a1,181.39,1325139.27
Ruvbl1,62.74,1545742.22
Psmd14,62.91,1373653.37
Eif2s2,29.01,1446413.62
Eif3h,329.16,1041056.6
H2afy,38.42,1117381.0
Rcc1,41.99,848147.99
Ywhab,59.25,1153018.05
Slc33a1,7.18,760432.45
Gstm2,42.29,1690152.0
Otub1,60.24,1468731.41
Rbm8a,16.02,1050820.62
Pdia6,112.08,2056562.5
Eif3m,65.5,1433706.78
Snrpa,45.64,1006852.95
Strap,56.09,1153752.27
Prps1,27.99,1347010.47
Ssr4,88.41,1484734.95
Raly,97.36,1226901.03
Ppp2r1a,91.18,1372553.98
Eif1ay,105.49,1043728.61
Psmc4,88.15,1390837.82
Prdx4,68.16,1170178.15
Clic4,45.51,1028157.09
Fkbp4,81.02,961227.1
Fus,156.28,1194570.12
Sub1,12.2,1561639.17
Actn1,150.69,1586173.86
Cotl1,72.05,1239083.99
Ssb,51.6,1483097.92
Acp1,2.24,962442.97
Uqcrc1,74.91,1154337.29
Uba1,158.22,1611995.09
Bax,93.48,997331.13
Ctps,58.12,1019802.44
Rab14,32.67,1169417.73
Acat2,25.24,1322088.13
Capns1,152.08,1246349.16
Ola1,28.93,1150119.27
Vdac2,43.87,1336852.47
Tsn,27.05,1054954.92
Ilf2,39.71,1046743.69
Rpn1,63.82,1115238.37
Clta,81.0,1104736.45
Emd,67.91,1302190.96
Rtn3,36.17,876193.43
Pls3,77.6,1475486.44
Aimp1,47.62,1149696.67
Glrx3,17.08,1224926.48
Rap1b,92.32,1494016.14
Umps,26.23,1064205.07
Serpinb6a,73.19,1429830.58
Syncrip,40.46,1395994.17
Psmc6,52.05,1061446.12
Psmc5,131.42,1182763.1
Arpc3,82.85,1038083.93
Sec22b,22.03,999639.71
Srp14,53.32,680602.96
Eif3i,94.83,907599.03
Tcea1,33.84,948727.68
Idh3a,25.07,1100154.8
Luc7l2,25.7,734214.29
Ruvbl2,59.04,1058920.85
Dhx9,63.63,850317.12
Pfdn2,42.48,705676.4
Ddost,90.74,1181752.03
Anp32e,26.49,1148670.85
Mrto4,66.82,715168.92
Adsl,55.67,1103239.98
Rars,64.22,1074194.76
Grpel1,16.87,696888.09
Lap3,40.79,1086415.04
Gars,124.82,975302.22
Nudt5,30.41,770440.22
Sept7,41.07,1174250.42
Tars,96.95,1229186.93
Gnai2,92.36,990237.55
Sec61a1,103.81,875426.45
G6pdx,44.89,939453.1
Suclg1,42.71,689153.95
Txnrd1,103.06,1029569.08
Dld,34.66,940735.6
